employee_id,age,gender,education_level,department,job_level,years_at_company,years_in_role,monthly_salary,training_hours_per_year,num_projects_completed,overtime_hours_per_month,absenteeism_days,certifications_earned,manager_rating,peer_rating,work_life_balance_score,job_satisfaction_score,last_promotion_years_ago,performance_score,salary_per_year_experience,productivity_index,training_to_experience_ratio,avg_rating,loyalty_score,engagement_score
1015,45,Non-binary,High School,Sales,Mid,7,5,4388,87,3,5,1,1,4,4,4,8,0,2,626.86,0.429,10.875,4.0,0.156,0.6
1016,51,Female,Bachelor's,HR,Mid,0,0,4332,97,23,0,5,3,4,5,5,10,0,3,4332000000.0,23000000.0,97.0,4.5,0.0,0.75
1017,59,Female,Bachelor's,Support,Mid,1,1,3576,97,4,13,0,3,3,4,10,10,1,3,3576.0,4.0,48.5,3.5,0.017,1.0
1018,23,Male,Bachelor's,Finance,Mid,0,0,4846,87,27,8,1,4,5,4,8,1,0,3,4846000000.0,27000000.0,87.0,4.5,0.0,0.45
1019,42,Male,Bachelor's,Finance,Senior,2,1,8357,78,10,9,2,1,2,3,2,7,1,2,4178.5,5.0,26.0,2.5,0.048,0.45
1020,54,Female,Bachelor's,Support,Mid,0,0,3789,80,14,11,0,2,5,4,1,9,0,3,3789000000.0,14000000.0,80.0,4.5,0.0,0.5
1021,33,Male,High School,Support,Senior,12,7,5150,12,21,2,2,3,3,3,6,5,12,1,429.17,1.75,0.923,3.0,0.364,0.55
1022,43,Male,Bachelor's,Support,Mid,2,0,4013,70,24,9,0,6,5,2,4,2,0,2,2006.5,12.0,23.333,3.5,0.047,0.3
1023,46,Female,Bachelor's,HR,Mid,3,0,4249,8,15,0,3,4,4,5,10,8,0,1,1416.33,5.0,2.0,4.5,0.065,0.9
1024,48,Male,Master's,Engineering,Junior,2,1,2430,107,7,0,4,2,2,1,3,9,2,1,1215.0,3.5,35.667,1.5,0.042,0.6
1025,49,Female,Bachelor's,HR,Junior,4,3,2607,62,7,7,0,7,5,5,7,7,0,3,651.75,1.75,12.4,5.0,0.082,0.7
1026,37,Female,Bachelor's,Operations,Junior,7,5,2597,98,8,0,8,7,4,4,8,5,3,3,371.0,1.143,12.25,4.0,0.189,0.65
1027,36,Female,Bachelor's,Product,Mid,5,3,5218,22,10,22,0,7,1,3,4,8,5,1,1043.6,2.0,3.667,2.0,0.139,0.6
1028,24,Male,Bachelor's,Support,Lead,6,1,7760,53,19,5,1,1,2,4,10,6,2,2,1293.33,3.167,7.571,3.0,0.25,0.8
1029,58,Female,Bachelor's,Product,Senior,11,1,7287,46,19,7,4,2,4,4,6,4,1,2,662.45,1.727,3.833,4.0,0.19,0.5
1030,28,Male,Bachelor's,Engineering,Mid,9,1,5598,38,2,1,2,1,4,3,2,1,7,1,622.0,0.222,3.8,3.5,0.321,0.15
1031,42,Male,Master's,Sales,Junior,5,2,2319,86,15,5,2,3,4,4,8,6,2,3,463.8,3.0,14.333,4.0,0.119,0.7
1032,30,Female,Bachelor's,HR,Junior,1,1,2601,25,1,0,0,7,4,4,6,8,0,2,2601.0,1.0,12.5,4.0,0.033,0.7
1033,39,Male,Bachelor's,Engineering,Mid,5,4,6474,0,10,9,6,0,4,3,9,3,3,2,1294.8,2.0,0.0,3.5,0.128,0.6
1034,25,Male,Master's,Product,Mid,3,0,4690,13,6,0,3,0,4,1,6,7,3,1,1563.33,2.0,3.25,2.5,0.12,0.65
1035,46,Female,Bachelor's,Sales,Mid,6,3,4235,95,22,5,0,7,4,3,6,7,0,3,705.83,3.667,13.571,3.5,0.13,0.65
1036,35,Male,Bachelor's,HR,Junior,8,6,2322,114,13,1,1,5,3,3,2,9,4,3,290.25,1.625,12.667,3.0,0.229,0.55
1037,30,Male,Bachelor's,Finance,Junior,6,3,3038,111,10,0,6,5,5,2,5,1,0,2,506.33,1.667,15.857,3.5,0.2,0.3
1038,47,Male,Master's,HR,Junior,9,8,2234,73,12,3,3,3,1,4,9,5,6,1,248.22,1.333,7.3,2.5,0.191,0.7
1039,23,Female,Bachelor's,Marketing,Junior,0,0,2735,64,24,0,0,2,3,3,1,8,0,1,2735000000.0,24000000.0,64.0,3.0,0.0,0.45
1040,41,Female,Bachelor's,HR,Senior,0,0,6779,68,6,6,1,1,4,5,4,3,0,2,6779000000.0,6000000.0,68.0,4.5,0.0,0.35
1041,49,Male,Bachelor's,Marketing,Junior,1,1,2765,66,6,1,1,7,3,3,10,5,0,2,2765.0,6.0,33.0,3.0,0.02,0.75
1042,28,Male,Master's,Sales,Mid,11,9,3772,48,1,2,2,0,1,3,10,1,3,1,342.91,0.091,4.0,2.0,0.393,0.55
1043,29,Male,High School,HR,Senior,8,3,6871,49,12,4,7,7,2,4,3,9,6,1,858.87,1.5,5.444,3.0,0.276,0.6
1044,56,Male,PhD,Sales,Lead,5,1,9524,57,23,1,2,1,4,5,1,4,5,2,1904.8,4.6,9.5,4.5,0.089,0.25
1045,35,Female,Bachelor's,Sales,Lead,6,2,9431,52,23,2,2,3,5,4,1,5,5,3,1571.83,3.833,7.429,4.5,0.171,0.3
1046,38,Male,PhD,Product,Senior,6,0,8103,90,10,8,9,2,4,3,1,3,4,1,1350.5,1.667,12.857,3.5,0.158,0.2
1047,57,Male,Master's,Engineering,Junior,14,0,3321,114,25,0,3,6,4,5,1,2,12,3,237.21,1.786,7.6,4.5,0.246,0.15
1048,25,Female,Bachelor's,Sales,Senior,8,6,7584,117,14,0,3,1,3,3,2,7,3,1,948.0,1.75,13.0,3.0,0.32,0.45
1049,23,Female,Bachelor's,Sales,Senior,4,4,8197,56,15,1,1,7,3,2,5,5,2,1,2049.25,3.75,11.2,2.5,0.174,0.5
1050,27,Female,Bachelor's,Product,Junior,5,2,2827,85,28,2,3,2,1,3,2,10,2,1,565.4,5.6,14.167,2.0,0.185,0.6
1051,25,Male,Bachelor's,Product,Mid,1,0,5769,17,23,3,3,6,3,4,4,3,1,2,5768.99,23.0,8.5,3.5,0.04,0.35
1052,50,Male,Master's,HR,Lead,5,5,7848,15,24,2,2,0,3,1,9,2,1,1,1569.6,4.8,2.5,2.0,0.1,0.55
1053,39,Male,Bachelor's,Product,Mid,2,1,5140,1,4,7,18,1,3,4,3,10,0,2,2570.0,2.0,0.333,3.5,0.051,0.65
1054,47,Male,Bachelor's,HR,Junior,0,0,2115,110,25,0,8,4,2,4,2,6,0,1,2115000000.0,25000000.0,110.0,3.0,0.0,0.4
1055,55,Female,Bachelor's,Finance,Junior,8,2,2914,12,1,2,5,0,4,5,4,10,2,2,364.25,0.125,1.333,4.5,0.145,0.7
1056,31,Female,Master's,Product,Mid,3,0,4688,44,8,2,3,2,5,3,9,6,2,2,1562.67,2.667,11.0,4.0,0.097,0.75
1057,57,Female,Bachelor's,Engineering,Junior,18,15,3099,79,3,5,2,3,5,3,4,3,6,1,172.17,0.167,4.158,4.0,0.316,0.35
1058,35,Female,High School,Sales,Senior,1,1,6119,71,14,16,0,4,4,3,5,9,0,3,6118.99,14.0,35.5,3.5,0.029,0.7
1059,52,Male,High School,Engineering,Senior,3,1,7760,42,17,3,1,5,2,3,4,1,0,1,2586.67,5.667,10.5,2.5,0.058,0.25
1060,36,Female,Master's,Marketing,Junior,2,2,2518,71,2,21,5,1,4,4,8,3,0,3,1259.0,1.0,23.667,4.0,0.056,0.55
1061,29,Male,Bachelor's,Support,Lead,0,0,7193,53,15,1,2,7,2,4,4,1,0,1,7193000000.0,15000000.0,53.0,3.0,0.0,0.25
1062,35,Female,Bachelor's,Product,Mid,2,2,4367,73,6,0,8,5,4,4,2,7,1,2,2183.5,3.0,24.333,4.0,0.057,0.45
1063,44,Male,Bachelor's,Sales,Junior,1,0,2352,118,5,0,0,0,4,4,4,2,0,3,2352.0,5.0,59.0,4.0,0.023,0.3
1064,42,Male,Bachelor's,Engineering,Senior,0,0,8419,96,14,2,2,7,4,5,2,4,0,3,8419000000.0,14000000.0,96.0,4.5,0.0,0.3
1065,37,Male,Bachelor's,Product,Senior,1,0,7189,30,19,1,4,1,5,3,9,4,1,2,7188.99,19.0,15.0,4.0,0.027,0.65
1066,39,Non-binary,Master's,Product,Senior,1,1,8651,75,9,0,2,1,4,5,8,8,1,3,8650.99,9.0,37.5,4.5,0.026,0.8
1067,45,Male,Master's,Support,Lead,6,1,7285,8,8,2,8,4,4,3,9,4,0,1,1214.17,1.333,1.143,3.5,0.133,0.65
1068,47,Male,Bachelor's,Finance,Senior,0,0,7955,100,29,2,18,4,3,4,4,3,0,2,7955000000.0,29000000.0,100.0,3.5,0.0,0.35
1069,46,Male,Master's,Finance,Lead,4,1,10840,72,3,0,0,4,5,4,1,10,0,2,2710.0,0.75,14.4,4.5,0.087,0.55
1070,50,Female,Bachelor's,Sales,Mid,7,0,4441,47,18,1,0,4,3,4,3,3,6,1,634.43,2.571,5.875,3.5,0.14,0.3
1071,36,Female,Master's,Marketing,Senior,3,1,6185,17,8,10,0,3,5,3,7,5,1,3,2061.67,2.667,4.25,4.0,0.083,0.6
1072,22,Female,Master's,Finance,Manager,13,7,12502,93,16,1,4,7,3,4,1,6,5,2,961.69,1.231,6.643,3.5,0.591,0.35
1073,46,Male,Bachelor's,Support,Senior,6,5,5911,95,15,6,1,7,2,5,8,7,1,3,985.17,2.5,13.571,3.5,0.13,0.75
1074,28,Female,Master's,Finance,Junior,6,5,2943,103,21,4,5,2,5,4,9,5,4,3,490.5,3.5,14.714,4.5,0.214,0.7
1075,30,Male,Bachelor's,Marketing,Mid,1,1,4983,86,15,2,2,4,1,4,8,7,0,3,4983.0,15.0,43.0,2.5,0.033,0.75
1076,45,Female,Bachelor's,Engineering,Senior,7,0,7952,10,16,1,3,0,5,2,5,4,4,2,1136.0,2.286,1.25,3.5,0.156,0.45
1077,22,Female,Bachelor's,Finance,Junior,8,3,3009,61,25,2,5,7,3,3,9,5,1,3,376.12,3.125,6.778,3.0,0.364,0.7
1078,29,Male,Bachelor's,Support,Manager,2,2,8643,83,1,4,3,1,5,5,4,6,0,3,4321.5,0.5,27.667,5.0,0.069,0.5
1079,45,Male,Master's,HR,Junior,1,0,2266,18,10,2,3,5,4,4,9,9,1,3,2266.0,10.0,9.0,4.0,0.022,0.9
1080,32,Male,Master's,Support,Junior,2,1,2267,99,19,1,0,4,4,4,1,6,2,3,1133.5,9.5,33.0,4.0,0.062,0.35
1081,38,Male,Bachelor's,Operations,Lead,6,5,9022,115,5,0,2,0,3,3,3,10,3,2,1503.67,0.833,16.429,3.0,0.158,0.65
1082,29,Male,Master's,Operations,Mid,2,1,4352,89,18,10,3,3,2,1,4,1,1,1,2176.0,9.0,29.667,1.5,0.069,0.25
1083,56,Female,Master's,Finance,Junior,6,0,3009,73,3,2,2,0,5,3,10,7,3,3,501.5,0.5,10.429,4.0,0.107,0.85
1084,56,Male,Bachelor's,Engineering,Senior,0,0,7993,23,4,4,9,5,3,3,1,3,0,1,7993000000.0,4000000.0,23.0,3.0,0.0,0.2
1085,54,Male,Bachelor's,Product,Senior,8,3,8070,12,4,3,9,5,3,3,6,6,7,1,1008.75,0.5,1.333,3.0,0.148,0.6
1086,26,Male,Bachelor's,Engineering,Junior,1,1,3493,115,11,10,6,0,4,3,4,2,1,1,3493.0,11.0,57.5,3.5,0.038,0.3
1087,49,Male,Master's,Support,Manager,1,1,9150,45,9,3,1,3,4,4,4,7,1,2,9149.99,9.0,22.5,4.0,0.02,0.55
1088,28,Female,Master's,Sales,Mid,4,2,4431,52,1,3,5,7,3,4,1,1,0,1,1107.75,0.25,10.4,3.5,0.143,0.1
1089,30,Male,Bachelor's,HR,Senior,0,0,6452,97,28,12,2,5,2,3,5,2,0,2,6452000000.0,28000000.0,97.0,2.5,0.0,0.35
1090,29,Female,Master's,Engineering,Mid,0,0,5676,28,25,6,1,3,2,4,9,9,0,2,5676000000.0,25000000.0,28.0,3.0,0.0,0.9
1091,33,Female,Bachelor's,Marketing,Senior,1,1,5901,35,16,0,1,1,5,5,6,9,1,3,5900.99,16.0,17.5,5.0,0.03,0.75
1092,55,Female,Bachelor's,Support,Mid,3,1,3813,70,9,0,0,4,1,3,8,7,3,2,1271.0,3.0,17.5,2.0,0.055,0.75
1093,54,Female,Bachelor's,HR,Mid,11,11,3266,114,11,7,1,5,5,5,4,2,8,3,296.91,1.0,9.5,5.0,0.204,0.3
1094,44,Male,Bachelor's,Operations,Mid,9,7,4367,93,6,9,2,0,3,5,9,5,7,3,485.22,0.667,9.3,4.0,0.205,0.7
1095,45,Non-binary,High School,Support,Lead,3,0,7595,16,27,3,12,7,2,2,7,4,3,2,2531.67,9.0,4.0,2.0,0.067,0.55
1096,58,Male,Bachelor's,HR,Junior,0,0,2686,47,17,4,1,2,4,2,7,2,0,1,2686000000.0,17000000.0,47.0,3.0,0.0,0.45
1097,56,Male,High School,Marketing,Senior,3,2,6303,76,27,4,9,2,2,3,8,2,3,1,2101.0,9.0,19.0,2.5,0.054,0.5
1098,43,Female,Bachelor's,Finance,Lead,6,0,9793,119,29,2,1,6,4,4,2,10,1,3,1632.17,4.833,17.0,4.0,0.14,0.6
1099,48,Female,Bachelor's,Marketing,Junior,2,2,2998,23,12,5,0,1,5,3,6,8,2,1,1499.0,6.0,7.667,4.0,0.042,0.7
1100,56,Female,Master's,Marketing,Junior,0,0,2996,53,22,0,2,2,1,3,7,5,0,1,2996000000.0,22000000.0,53.0,2.0,0.0,0.6
1101,22,Male,Bachelor's,Finance,Mid,1,0,4985,118,8,16,4,1,4,4,3,8,0,3,4985.0,8.0,59.0,4.0,0.045,0.55
1102,56,Male,Master's,Finance,Senior,7,7,7604,94,16,6,0,7,3,1,8,2,0,1,1086.29,2.286,11.75,2.0,0.125,0.5
1103,58,Female,Bachelor's,Finance,Junior,2,0,3333,90,5,4,0,4,3,5,1,2,0,1,1666.5,2.5,30.0,4.0,0.034,0.15
1104,35,Male,Bachelor's,Finance,Mid,8,1,4249,113,21,1,2,6,3,3,1,3,3,2,531.12,2.625,12.556,3.0,0.229,0.2
1105,24,Female,Master's,Finance,Senior,1,1,7257,84,1,0,1,1,5,5,10,10,0,3,7256.99,1.0,42.0,5.0,0.042,1.0
1106,22,Female,High School,Marketing,Senior,0,0,7438,107,17,2,4,3,2,2,3,8,0,2,7438000000.0,17000000.0,107.0,2.0,0.0,0.55
1107,26,Male,Bachelor's,Sales,Mid,2,2,5030,118,24,5,2,3,5,3,6,8,2,3,2515.0,12.0,39.333,4.0,0.077,0.7
1108,47,Male,Master's,Sales,Mid,3,2,4752,0,29,5,0,6,4,3,7,3,1,1,1584.0,9.667,0.0,3.5,0.064,0.5
1109,35,Male,High School,Support,Senior,0,0,4777,78,21,2,8,7,1,5,2,1,0,1,4777000000.0,21000000.0,78.0,3.0,0.0,0.15
1110,48,Male,High School,Engineering,Manager,0,0,12396,66,8,4,1,7,4,1,6,7,0,2,12396000000.0,8000000.0,66.0,2.5,0.0,0.65
1111,30,Female,Bachelor's,Sales,Lead,1,1,8194,5,10,8,5,3,5,4,5,4,1,2,8193.99,10.0,2.5,4.5,0.033,0.45
1112,36,Male,High School,Operations,Senior,0,0,6456,77,18,0,6,5,4,5,6,3,0,3,6456000000.0,18000000.0,77.0,4.5,0.0,0.45
1113,36,Female,Bachelor's,Sales,Mid,2,0,4212,54,15,2,13,3,4,4,1,5,2,2,2106.0,7.5,18.0,4.0,0.056,0.3
1114,47,Male,Bachelor's,Marketing,Mid,16,12,3926,37,20,7,2,3,5,3,10,6,1,3,245.37,1.25,2.176,4.0,0.34,0.8
1115,34,Non-binary,Master's,Finance,Junior,3,3,2380,32,13,3,3,7,2,5,7,1,2,1,793.33,4.333,8.0,3.5,0.088,0.4
1116,53,Male,Master's,Support,Junior,4,2,2524,115,27,5,1,3,5,5,8,9,3,3,631.0,6.75,23.0,5.0,0.075,0.85
1117,53,Male,Master's,Finance,Senior,2,2,7200,101,10,3,4,3,5,3,7,6,2,3,3600.0,5.0,33.667,4.0,0.038,0.65
1118,25,Male,Bachelor's,Product,Mid,1,0,5290,7,9,24,2,5,4,4,9,3,1,2,5289.99,9.0,3.5,4.0,0.04,0.6
1119,51,Female,Master's,Product,Mid,0,0,5207,89,13,0,2,3,5,5,1,1,0,2,5207000000.0,13000000.0,89.0,5.0,0.0,0.1
1120,58,Female,Bachelor's,Product,Manager,3,0,10700,78,3,3,7,3,4,5,10,9,3,3,3566.67,1.0,19.5,4.5,0.052,0.95
1121,44,Female,Master's,Marketing,Junior,3,0,2294,77,22,0,0,4,4,3,9,2,2,3,764.67,7.333,19.25,3.5,0.068,0.55
1122,36,Male,Master's,Operations,Junior,0,0,2248,111,27,0,8,7,4,4,3,10,0,3,2248000000.0,27000000.0,111.0,4.0,0.0,0.65
1123,50,Male,Master's,Sales,Junior,7,5,2551,19,23,2,7,7,3,3,2,6,3,1,364.43,3.286,2.375,3.0,0.14,0.4
1124,57,Female,Bachelor's,Marketing,Senior,3,2,6803,54,3,0,2,5,4,3,6,6,3,1,2267.67,1.0,13.5,3.5,0.053,0.6
1125,34,Male,Bachelor's,Engineering,Senior,2,0,7478,47,1,16,2,3,3,3,5,3,1,1,3739.0,0.5,15.667,3.0,0.059,0.4
1126,53,Male,Bachelor's,Support,Mid,0,0,4404,82,2,14,1,1,3,3,4,6,0,1,4404000000.0,2000000.0,82.0,3.0,0.0,0.5
1127,28,Non-binary,Master's,Finance,Mid,4,1,5513,55,11,2,20,6,3,4,4,2,2,1,1378.25,2.75,11.0,3.5,0.143,0.3
1128,43,Non-binary,High School,Product,Senior,6,4,8444,96,14,5,0,7,2,4,8,8,1,2,1407.33,2.333,13.714,3.0,0.14,0.8
1129,49,Female,Master's,HR,Lead,1,1,7821,99,10,3,3,4,3,3,10,1,1,2,7820.99,10.0,49.5,3.0,0.02,0.55
1130,23,Female,Bachelor's,Engineering,Manager,1,0,14344,87,7,8,4,5,5,3,3,6,0,3,14343.99,7.0,43.5,4.0,0.043,0.45
1131,27,Male,Bachelor's,Product,Lead,3,1,9680,9,23,4,10,2,3,3,1,1,0,1,3226.67,7.667,2.25,3.0,0.111,0.1
1132,49,Male,Bachelor's,Operations,Senior,0,0,6230,51,28,0,6,0,4,5,5,9,0,3,6230000000.0,28000000.0,51.0,4.5,0.0,0.7
1133,49,Female,High School,Engineering,Junior,5,3,3305,49,1,7,4,5,3,5,8,9,5,1,661.0,0.2,8.167,4.0,0.102,0.85
1134,41,Female,Bachelor's,Marketing,Junior,4,3,2809,33,26,6,0,6,3,3,3,6,3,1,702.25,6.5,6.6,3.0,0.098,0.45
1135,51,Male,Bachelor's,Sales,Junior,0,0,2925,35,7,3,1,4,2,5,2,6,0,1,2925000000.0,7000000.0,35.0,3.5,0.0,0.4
1136,32,Male,PhD,Finance,Senior,0,0,7143,110,15,11,0,3,2,3,1,9,0,2,7143000000.0,15000000.0,110.0,2.5,0.0,0.5
1137,49,Male,Bachelor's,Support,Lead,4,0,6745,60,26,11,8,4,4,4,4,5,2,2,1686.25,6.5,12.0,4.0,0.082,0.45
1138,46,Female,Bachelor's,Operations,Mid,1,0,4433,99,11,3,5,0,4,5,2,9,0,3,4433.0,11.0,49.5,4.5,0.022,0.55
1139,54,Female,Master's,Operations,Junior,0,0,2678,15,6,4,5,0,3,3,8,5,0,1,2678000000.0,6000000.0,15.0,3.0,0.0,0.65
1140,22,Female,Master's,HR,Mid,7,0,4002,78,27,28,4,5,4,4,10,4,4,3,571.71,3.857,9.75,4.0,0.318,0.7
1141,48,Male,Master's,Engineering,Manager,1,1,10480,17,22,1,2,3,5,3,9,2,1,2,10479.99,22.0,8.5,4.0,0.021,0.55
1142,34,Non-binary,High School,HR,Senior,3,1,6120,70,7,1,0,3,3,3,10,2,2,1,2040.0,2.333,17.5,3.0,0.088,0.6
1143,24,Female,Master's,Sales,Lead,1,1,9251,46,7,1,1,1,1,4,1,1,1,1,9250.99,7.0,23.0,2.5,0.042,0.1
1144,27,Male,Master's,Product,Lead,4,1,11682,85,1,11,0,0,4,5,2,10,2,3,2920.5,0.25,17.0,4.5,0.148,0.6
1145,29,Male,Bachelor's,Sales,Manager,1,1,9278,31,10,6,5,3,2,3,6,3,1,1,9277.99,10.0,15.5,2.5,0.034,0.45
1146,48,Male,High School,Product,Senior,17,15,7479,42,21,0,0,0,5,5,10,1,10,3,439.94,1.235,2.333,5.0,0.354,0.55
1147,30,Male,Bachelor's,HR,Senior,6,0,6006,82,15,20,4,7,4,5,7,6,4,3,1001.0,2.5,11.714,4.5,0.2,0.65
1148,58,Non-binary,Bachelor's,Finance,Junior,0,0,3406,39,8,6,4,1,4,3,2,7,0,2,3406000000.0,8000000.0,39.0,3.5,0.0,0.45
1149,54,Male,Master's,Sales,Junior,2,0,2740,119,24,9,2,2,3,3,8,9,0,3,1370.0,12.0,39.667,3.0,0.037,0.85
1150,45,Female,Bachelor's,HR,Mid,2,1,3788,64,19,0,0,0,4,4,10,7,2,3,1894.0,9.5,21.333,4.0,0.044,0.85
1151,36,Male,Master's,Engineering,Junior,3,1,3431,34,3,3,1,7,2,4,9,4,2,1,1143.67,1.0,8.5,3.0,0.083,0.65
1152,53,Male,Bachelor's,HR,Manager,9,4,9195,68,23,5,1,7,5,2,8,4,8,3,1021.67,2.556,6.8,3.5,0.17,0.6
1153,53,Male,Bachelor's,HR,Mid,4,4,3656,49,15,3,4,7,4,5,9,8,3,3,914.0,3.75,9.8,4.5,0.075,0.85
1154,45,Male,Bachelor's,Marketing,Lead,0,0,7570,11,4,5,0,1,3,4,6,4,0,1,7570000000.0,4000000.0,11.0,3.5,0.0,0.5
1155,33,Male,Bachelor's,Sales,Mid,5,5,5378,75,6,8,7,1,4,3,7,1,1,1,1075.6,1.2,12.5,3.5,0.152,0.4
1156,23,Female,Master's,Support,Mid,0,0,3894,84,25,2,5,6,2,4,6,9,0,1,3894000000.0,25000000.0,84.0,3.0,0.0,0.75
1157,24,Female,Master's,Finance,Manager,7,2,11623,57,10,9,0,1,1,2,7,3,1,1,1660.43,1.429,7.125,1.5,0.292,0.5
1158,58,Female,Bachelor's,Finance,Mid,5,4,4875,82,18,0,5,4,4,3,3,1,0,2,975.0,3.6,13.667,3.5,0.086,0.2
1159,38,Male,Bachelor's,Marketing,Mid,1,0,4502,62,16,1,4,5,4,5,4,9,0,3,4502.0,16.0,31.0,4.5,0.026,0.65
1160,23,Male,High School,Product,Junior,1,0,3212,72,18,0,5,3,4,5,9,10,0,3,3212.0,18.0,36.0,4.5,0.043,0.95
1161,23,Male,Master's,Operations,Senior,8,7,6432,106,6,2,0,0,3,3,3,10,4,2,804.0,0.75,11.778,3.0,0.348,0.65
1162,49,Female,High School,Product,Mid,7,4,5268,48,19,2,0,5,4,4,2,5,4,2,752.57,2.714,6.0,4.0,0.143,0.35
1163,44,Male,Bachelor's,Finance,Senior,2,0,8151,111,17,8,1,4,2,4,7,9,1,2,4075.5,8.5,37.0,3.0,0.045,0.8
1164,58,Male,Bachelor's,HR,Senior,1,0,6264,35,18,5,1,0,4,3,6,3,1,2,6263.99,18.0,17.5,3.5,0.017,0.45
1165,53,Female,Master's,Marketing,Senior,4,4,5920,105,13,2,6,5,4,2,3,6,1,2,1480.0,3.25,21.0,3.0,0.075,0.45
1166,54,Male,Bachelor's,Engineering,Senior,0,0,7627,53,7,5,5,4,4,4,6,7,0,2,7627000000.0,7000000.0,53.0,4.0,0.0,0.65
1167,22,Male,Bachelor's,Sales,Mid,0,0,3676,46,20,0,10,7,5,4,7,5,0,2,3676000000.0,20000000.0,46.0,4.5,0.0,0.6
1168,40,Male,Master's,Sales,Mid,0,0,5512,114,12,0,0,3,5,1,6,8,0,2,5512000000.0,12000000.0,114.0,3.0,0.0,0.7
1169,23,Female,Bachelor's,Support,Lead,1,0,7739,31,2,4,0,1,5,2,1,10,1,2,7738.99,2.0,15.5,3.5,0.043,0.55
1170,47,Female,Bachelor's,Sales,Mid,3,2,4202,98,27,5,4,5,5,3,1,6,3,3,1400.67,9.0,24.5,4.0,0.064,0.35
1171,53,Male,Master's,HR,Mid,24,6,4049,94,12,7,1,7,4,3,9,6,0,3,168.71,0.5,3.76,3.5,0.453,0.75
1172,27,Male,Master's,Engineering,Mid,5,0,5071,52,12,2,1,5,5,4,6,7,1,3,1014.2,2.4,8.667,4.5,0.185,0.65
1173,53,Non-binary,Bachelor's,Marketing,Lead,0,0,9594,118,24,6,3,7,5,3,2,8,0,3,9594000000.0,24000000.0,118.0,4.0,0.0,0.5
1174,25,Female,Bachelor's,Marketing,Mid,3,0,3753,31,4,5,0,0,4,3,1,2,1,1,1251.0,1.333,7.75,3.5,0.12,0.15
1175,32,Male,Bachelor's,Sales,Mid,3,0,4635,61,4,16,4,1,2,5,2,7,3,1,1545.0,1.333,15.25,3.5,0.094,0.45
1176,38,Female,Master's,Engineering,Senior,0,0,8036,36,18,1,1,6,1,2,8,9,0,1,8036000000.0,18000000.0,36.0,1.5,0.0,0.85
1177,59,Male,High School,Engineering,Senior,12,8,8796,95,16,4,4,3,5,3,5,1,10,3,733.0,1.333,7.308,4.0,0.203,0.3
1178,45,Female,Master's,Engineering,Junior,2,1,3216,106,14,4,7,7,4,5,7,1,2,2,1608.0,7.0,35.333,4.5,0.044,0.4
1179,26,Female,Bachelor's,Finance,Mid,26,20,4120,119,17,33,0,0,5,4,7,7,15,3,158.46,0.654,4.407,4.5,1.0,0.7
