employee_id,age,gender,education_level,department,job_level,years_at_company,years_in_role,monthly_salary,training_hours_per_year,num_projects_completed,overtime_hours_per_month,absenteeism_days,certifications_earned,manager_rating,peer_rating,work_life_balance_score,job_satisfaction_score,last_promotion_years_ago,performance_score
1101,22,Male,Bachelor's,Finance,Mid,1,0,4985,118,8,16,4,1,4,4,3,8,0,3
1102,56,Male,Master's,Finance,Senior,7,7,7604,94,16,6,0,7,3,1,8,2,0,1
1103,58,Female,Bachelor's,Finance,Junior,2,0,3333,90,5,4,0,4,3,5,1,2,0,1
1104,35,Male,Bachelor's,Finance,Mid,8,1,4249,113,21,1,2,6,3,3,1,3,3,2
1105,24,Female,Master's,Finance,Senior,1,1,7257,84,1,0,1,1,5,5,10,10,0,3
1106,22,Female,High School,Marketing,Senior,0,0,7438,107,17,2,4,3,2,2,3,8,0,2
1107,26,Male,Bachelor's,Sales,Mid,2,2,5030,118,24,5,2,3,5,3,6,8,2,3
1108,47,Male,Master's,Sales,Mid,3,2,4752,0,29,5,0,6,4,3,7,3,1,1
1109,35,Male,High School,Support,Senior,0,0,4777,78,21,2,8,7,1,5,2,1,0,1
1110,48,Male,High School,Engineering,Manager,0,0,12396,66,8,4,1,7,4,1,6,7,0,2
1111,30,Female,Bachelor's,Sales,Lead,1,1,8194,5,10,8,5,3,5,4,5,4,1,2
1112,36,Male,High School,Operations,Senior,0,0,6456,77,18,0,6,5,4,5,6,3,0,3
1113,36,Female,Bachelor's,Sales,Mid,2,0,4212,54,15,2,13,3,4,4,1,5,2,2
1114,47,Male,Bachelor's,Marketing,Mid,16,12,3926,37,20,7,2,3,5,3,10,6,1,3
1115,34,Non-binary,Master's,Finance,Junior,3,3,2380,32,13,3,3,7,2,5,7,1,2,1
1116,53,Male,Master's,Support,Junior,4,2,2524,115,27,5,1,3,5,5,8,9,3,3
1117,53,Male,Master's,Finance,Senior,2,2,7200,101,10,3,4,3,5,3,7,6,2,3
1118,25,Male,Bachelor's,Product,Mid,1,0,5290,7,9,24,2,5,4,4,9,3,1,2
1119,51,Female,Master's,Product,Mid,0,0,5207,89,13,0,2,3,5,5,1,1,0,2
1120,58,Female,Bachelor's,Product,Manager,3,0,10700,78,3,3,7,3,4,5,10,9,3,3
1121,44,Female,Master's,Marketing,Junior,3,0,2294,77,22,0,0,4,4,3,9,2,2,3
1122,36,Male,Master's,Operations,Junior,0,0,2248,111,27,0,8,7,4,4,3,10,0,3
1123,50,Male,Master's,Sales,Junior,7,5,2551,19,23,2,7,7,3,3,2,6,3,1
1124,57,Female,Bachelor's,Marketing,Senior,3,2,6803,54,3,0,2,5,4,3,6,6,3,1
1125,34,Male,Bachelor's,Engineering,Senior,2,0,7478,47,1,16,2,3,3,3,5,3,1,1
1126,53,Male,Bachelor's,Support,Mid,0,0,4404,82,2,14,1,1,3,3,4,6,0,1
1127,28,Non-binary,Master's,Finance,Mid,4,1,5513,55,11,2,20,6,3,4,4,2,2,1
1128,43,Non-binary,High School,Product,Senior,6,4,8444,96,14,5,0,7,2,4,8,8,1,2
1129,49,Female,Master's,HR,Lead,1,1,7821,99,10,3,3,4,3,3,10,1,1,2
1130,23,Female,Bachelor's,Engineering,Manager,1,0,14344,87,7,8,4,5,5,3,3,6,0,3
1131,27,Male,Bachelor's,Product,Lead,3,1,9680,9,23,4,10,2,3,3,1,1,0,1
1132,49,Male,Bachelor's,Operations,Senior,0,0,6230,51,28,0,6,0,4,5,5,9,0,3
1133,49,Female,High School,Engineering,Junior,5,3,3305,49,1,7,4,5,3,5,8,9,5,1
1134,41,Female,Bachelor's,Marketing,Junior,4,3,2809,33,26,6,0,6,3,3,3,6,3,1
1135,51,Male,Bachelor's,Sales,Junior,0,0,2925,35,7,3,1,4,2,5,2,6,0,1
1136,32,Male,PhD,Finance,Senior,0,0,7143,110,15,11,0,3,2,3,1,9,0,2
1137,49,Male,Bachelor's,Support,Lead,4,0,6745,60,26,11,8,4,4,4,4,5,2,2
1138,46,Female,Bachelor's,Operations,Mid,1,0,4433,99,11,3,5,0,4,5,2,9,0,3
1139,54,Female,Master's,Operations,Junior,0,0,2678,15,6,4,5,0,3,3,8,5,0,1
1140,22,Female,Master's,HR,Mid,7,0,4002,78,27,28,4,5,4,4,10,4,4,3
1141,48,Male,Master's,Engineering,Manager,1,1,10480,17,22,1,2,3,5,3,9,2,1,2
1142,34,Non-binary,High School,HR,Senior,3,1,6120,70,7,1,0,3,3,3,10,2,2,1
1143,24,Female,Master's,Sales,Lead,1,1,9251,46,7,1,1,1,1,4,1,1,1,1
1144,27,Male,Master's,Product,Lead,4,1,11682,85,1,11,0,0,4,5,2,10,2,3
1145,29,Male,Bachelor's,Sales,Manager,1,1,9278,31,10,6,5,3,2,3,6,3,1,1
1146,48,Male,High School,Product,Senior,17,15,7479,42,21,0,0,0,5,5,10,1,10,3
1147,30,Male,Bachelor's,HR,Senior,6,0,6006,82,15,20,4,7,4,5,7,6,4,3
1148,58,Non-binary,Bachelor's,Finance,Junior,0,0,3406,39,8,6,4,1,4,3,2,7,0,2
1149,54,Male,Master's,Sales,Junior,2,0,2740,119,24,9,2,2,3,3,8,9,0,3
1150,45,Female,Bachelor's,HR,Mid,2,1,3788,64,19,0,0,0,4,4,10,7,2,3
1151,36,Male,Master's,Engineering,Junior,3,1,3431,34,3,3,1,7,2,4,9,4,2,1
1152,53,Male,Bachelor's,HR,Manager,9,4,9195,68,23,5,1,7,5,2,8,4,8,3
1153,53,Male,Bachelor's,HR,Mid,4,4,3656,49,15,3,4,7,4,5,9,8,3,3
1154,45,Male,Bachelor's,Marketing,Lead,0,0,7570,11,4,5,0,1,3,4,6,4,0,1
1155,33,Male,Bachelor's,Sales,Mid,5,5,5378,75,6,8,7,1,4,3,7,1,1,1
1156,23,Female,Master's,Support,Mid,0,0,3894,84,25,2,5,6,2,4,6,9,0,1
1157,24,Female,Master's,Finance,Manager,7,2,11623,57,10,9,0,1,1,2,7,3,1,1
1158,58,Female,Bachelor's,Finance,Mid,5,4,4875,82,18,0,5,4,4,3,3,1,0,2
1159,38,Male,Bachelor's,Marketing,Mid,1,0,4502,62,16,1,4,5,4,5,4,9,0,3
1160,23,Male,High School,Product,Junior,1,0,3212,72,18,0,5,3,4,5,9,10,0,3
1161,23,Male,Master's,Operations,Senior,8,7,6432,106,6,2,0,0,3,3,3,10,4,2
1162,49,Female,High School,Product,Mid,7,4,5268,48,19,2,0,5,4,4,2,5,4,2
1163,44,Male,Bachelor's,Finance,Senior,2,0,8151,111,17,8,1,4,2,4,7,9,1,2
1164,58,Male,Bachelor's,HR,Senior,1,0,6264,35,18,5,1,0,4,3,6,3,1,2
1165,53,Female,Master's,Marketing,Senior,4,4,5920,105,13,2,6,5,4,2,3,6,1,2
1166,54,Male,Bachelor's,Engineering,Senior,0,0,7627,53,7,5,5,4,4,4,6,7,0,2
1167,22,Male,Bachelor's,Sales,Mid,0,0,3676,46,20,0,10,7,5,4,7,5,0,2
1168,40,Male,Master's,Sales,Mid,0,0,5512,114,12,0,0,3,5,1,6,8,0,2
1169,23,Female,Bachelor's,Support,Lead,1,0,7739,31,2,4,0,1,5,2,1,10,1,2
1170,47,Female,Bachelor's,Sales,Mid,3,2,4202,98,27,5,4,5,5,3,1,6,3,3
1171,53,Male,Master's,HR,Mid,24,6,4049,94,12,7,1,7,4,3,9,6,0,3
1172,27,Male,Master's,Engineering,Mid,5,0,5071,52,12,2,1,5,5,4,6,7,1,3
1173,53,Non-binary,Bachelor's,Marketing,Lead,0,0,9594,118,24,6,3,7,5,3,2,8,0,3
1174,25,Female,Bachelor's,Marketing,Mid,3,0,3753,31,4,5,0,0,4,3,1,2,1,1
1175,32,Male,Bachelor's,Sales,Mid,3,0,4635,61,4,16,4,1,2,5,2,7,3,1
1176,38,Female,Master's,Engineering,Senior,0,0,8036,36,18,1,1,6,1,2,8,9,0,1
1177,59,Male,High School,Engineering,Senior,12,8,8796,95,16,4,4,3,5,3,5,1,10,3
1178,45,Female,Master's,Engineering,Junior,2,1,3216,106,14,4,7,7,4,5,7,1,2,2
1179,26,Female,Bachelor's,Finance,Mid,26,20,4120,119,17,33,0,0,5,4,7,7,15,3
1180,55,Male,Bachelor's,Finance,Senior,2,1,7311,100,17,1,10,2,3,4,2,5,2,3
1181,27,Non-binary,Master's,Sales,Manager,4,2,9516,102,3,3,3,2,3,3,4,1,0,1
1182,43,Female,Master's,Engineering,Senior,0,0,8189,37,6,2,10,2,4,1,2,1,0,1
1183,32,Female,High School,Operations,Mid,3,3,4764,29,23,3,0,3,5,4,7,2,0,1
1184,37,Male,Bachelor's,Engineering,Junior,1,0,2684,57,13,1,3,7,2,4,5,10,0,2
1185,54,Male,Bachelor's,Marketing,Lead,9,5,7647,31,9,0,2,2,5,2,1,9,1,1
1186,30,Male,Master's,Marketing,Lead,7,4,7853,108,21,4,5,5,4,3,2,3,2,3
1187,27,Female,PhD,Sales,Junior,8,4,2645,65,9,2,3,6,3,5,6,9,3,3
1188,37,Male,Bachelor's,Operations,Junior,6,6,2685,50,8,1,2,0,3,3,4,6,2,1
1189,50,Female,Master's,Engineering,Senior,8,2,7983,10,17,1,9,6,1,3,7,10,2,1
1190,24,Female,Bachelor's,Product,Mid,1,1,5424,58,16,0,1,6,1,3,2,6,1,1
1191,41,Male,Bachelor's,Operations,Mid,3,3,3905,19,16,15,0,6,4,4,2,7,2,1
1192,57,Female,Bachelor's,Support,Junior,5,5,2301,36,27,4,3,5,2,4,6,10,3,3
1193,40,Male,Bachelor's,Sales,Mid,5,4,4939,72,28,8,3,2,3,4,8,8,2,3
1194,47,Non-binary,Bachelor's,Marketing,Mid,6,3,4054,101,19,2,2,6,5,3,1,3,5,2
1195,24,Male,Bachelor's,Product,Senior,1,0,8422,48,24,11,2,7,4,2,5,8,0,2
1196,40,Male,High School,Marketing,Mid,0,0,4397,18,16,3,12,6,4,3,1,6,0,2
1197,41,Male,Master's,Finance,Mid,12,11,5522,54,25,4,5,0,3,4,6,6,6,3
1198,53,Male,Bachelor's,Sales,Mid,4,1,4491,39,14,3,0,7,5,4,7,3,1,2
1199,28,Female,Bachelor's,Sales,Mid,0,0,4758,6,20,6,0,5,5,5,6,6,0,2
1200,54,Female,Bachelor's,Engineering,Junior,7,5,3236,4,14,4,14,3,4,3,9,8,5,2
1201,39,Female,Master's,Engineering,Mid,12,1,5364,110,14,1,5,1,5,4,3,7,1,3
1202,22,Male,High School,Finance,Senior,0,0,7694,41,14,0,9,5,5,4,8,10,0,3
1203,32,Male,Bachelor's,Product,Junior,8,2,3292,87,12,4,1,4,4,3,3,10,1,3
1204,49,Male,PhD,Support,Junior,13,8,2000,47,6,3,5,2,4,3,7,7,8,2
1205,46,Female,Bachelor's,HR,Junior,13,10,2858,104,20,0,5,4,2,4,5,3,5,1
1206,44,Female,Bachelor's,Operations,Mid,12,10,3391,6,13,2,1,7,3,5,1,10,10,1
1207,52,Male,Master's,HR,Lead,3,0,7374,10,16,3,3,1,2,3,4,3,2,1
1208,51,Male,High School,HR,Junior,2,1,2476,72,9,8,3,3,1,5,9,5,2,1
1209,56,Female,Bachelor's,Sales,Manager,0,0,10976,48,2,0,2,5,3,4,8,5,0,1
1210,28,Female,Bachelor's,Operations,Junior,0,0,2894,29,22,2,7,3,5,3,3,9,0,3
1211,37,Female,Bachelor's,Sales,Lead,2,1,7090,40,27,8,7,1,3,3,2,9,2,1
1212,47,Female,Bachelor's,Support,Mid,2,1,3559,2,29,5,7,4,5,2,9,10,0,1
1213,23,Male,High School,Operations,Senior,1,1,4920,85,3,1,6,5,4,3,1,5,0,2
1214,22,Male,Bachelor's,Marketing,Mid,2,0,4388,39,10,9,2,2,3,1,9,5,0,1
1215,33,Female,High School,Sales,Mid,0,0,4707,50,20,3,1,0,4,3,7,6,0,2
1216,26,Female,Master's,Sales,Lead,9,3,10093,83,2,3,7,6,3,5,2,8,3,1
1217,58,Male,Bachelor's,Sales,Senior,1,0,6957,31,27,18,2,3,5,4,5,6,1,3
1218,53,Female,Bachelor's,Product,Mid,4,4,5752,47,24,14,1,7,5,4,2,6,1,3
1219,30,Female,Master's,Finance,Junior,3,1,3175,70,10,2,2,1,1,2,5,9,1,1
1220,56,Female,Master's,Sales,Junior,0,0,2630,70,8,0,0,5,5,3,7,1,0,2
1221,40,Female,High School,Support,Lead,14,5,6121,19,17,1,4,7,4,3,5,4,14,1
1222,37,Male,Master's,Engineering,Mid,3,0,5565,88,26,0,1,4,2,5,2,10,1,3
1223,24,Female,Bachelor's,Engineering,Mid,1,0,4608,108,22,0,1,2,4,3,5,10,1,3
1224,41,Female,Bachelor's,Operations,Senior,0,0,7059,34,1,2,12,7,4,3,10,2,0,1
1225,45,Female,Master's,Marketing,Lead,2,0,8177,107,6,14,6,4,3,4,6,9,2,3
1226,54,Female,Bachelor's,Finance,Senior,0,0,8396,23,7,10,6,2,4,4,5,3,0,1
1227,45,Female,Bachelor's,Product,Senior,2,0,7437,39,15,3,3,5,2,4,2,10,0,2
1228,32,Male,Bachelor's,Operations,Senior,3,3,6418,76,18,4,7,0,4,3,6,2,3,1
1229,29,Female,Bachelor's,Engineering,Mid,10,4,5530,51,9,0,5,0,1,3,6,8,6,1
1230,57,Female,Bachelor's,Finance,Mid,5,2,4977,111,8,1,3,7,5,4,2,4,5,2
1231,59,Female,Master's,Finance,Lead,0,0,9088,38,25,0,12,6,4,4,4,2,0,3
1232,41,Female,Bachelor's,Marketing,Mid,0,0,4546,67,10,7,0,7,3,3,7,4,0,2
1233,56,Female,Master's,Support,Lead,2,0,6465,60,29,0,11,1,3,1,1,7,1,1
1234,46,Male,Bachelor's,Finance,Junior,1,0,2637,75,4,10,2,1,3,4,1,7,1,2
1235,56,Female,Master's,Sales,Junior,0,0,3091,80,20,5,3,2,4,5,6,1,0,3
1236,46,Male,Master's,Finance,Manager,8,0,12336,64,28,1,0,2,2,4,7,1,2,1
1237,50,Male,Master's,Marketing,Senior,0,0,6605,61,8,0,3,2,5,5,5,3,0,3
1238,39,Female,Bachelor's,Operations,Mid,8,5,4860,80,1,4,3,7,5,4,10,2,6,3
1239,39,Female,Bachelor's,Marketing,Senior,0,0,6386,1,8,11,24,2,4,3,8,3,0,1
1240,23,Male,Bachelor's,Product,Senior,18,6,8845,5,23,6,14,6,3,1,4,4,15,1
1241,56,Male,Master's,Marketing,Mid,4,3,4451,107,12,2,13,7,3,4,3,7,4,2
1242,37,Female,Master's,Engineering,Junior,6,5,2916,74,23,4,1,5,4,3,7,2,6,2
1243,57,Male,Bachelor's,Sales,Lead,0,0,10317,116,25,1,18,5,4,4,4,7,0,3
1244,54,Male,Bachelor's,Support,Lead,9,4,7830,42,15,35,2,0,4,4,1,5,2,2
1245,25,Male,Bachelor's,Engineering,Junior,9,0,3210,81,13,6,7,1,4,5,8,8,5,3
1246,54,Male,Bachelor's,Operations,Lead,5,5,8492,39,16,4,0,6,3,4,5,8,0,2
1247,35,Male,Bachelor's,HR,Lead,3,1,7597,88,26,2,2,1,5,3,8,5,0,3
1248,42,Male,Master's,Operations,Mid,6,4,4512,38,23,4,13,3,2,3,8,10,4,2
1249,41,Male,PhD,Sales,Senior,0,0,5231,27,18,2,11,1,4,3,5,8,0,2
1250,29,Female,Bachelor's,Finance,Mid,4,2,4490,109,1,0,4,1,4,5,8,9,4,2
1251,28,Female,Bachelor's,Marketing,Mid,9,9,4803,79,17,2,6,4,2,1,7,7,8,1
1252,24,Female,Bachelor's,HR,Senior,2,2,6093,62,16,13,0,4,4,5,3,6,0,3
1253,38,Male,Bachelor's,Sales,Lead,0,0,8889,63,23,4,5,6,5,5,4,7,0,3
1254,54,Male,Bachelor's,Engineering,Senior,2,2,7030,11,5,0,3,3,4,4,7,7,1,1
1255,33,Female,High School,Marketing,Mid,6,6,5183,40,20,10,0,2,1,3,4,3,4,1
1256,43,Male,Master's,Operations,Junior,0,0,2797,115,21,1,0,3,3,3,6,6,0,3
1257,43,Male,Bachelor's,Engineering,Junior,1,1,3184,28,10,1,0,3,3,3,2,6,1,1
1258,51,Female,Bachelor's,Sales,Mid,0,0,4397,22,26,1,5,0,3,2,2,9,0,1
1259,59,Female,Master's,Sales,Junior,7,6,3033,84,6,4,0,5,5,3,3,1,1,1
1260,59,Male,Master's,Operations,Senior,0,0,7489,79,12,3,2,1,4,2,10,7,0,3
1261,29,Male,Bachelor's,HR,Mid,5,3,4564,116,10,3,1,0,3,4,7,1,2,2
1262,48,Female,Bachelor's,Operations,Senior,2,2,7607,50,22,6,3,6,5,3,3,10,2,2
1263,48,Male,Bachelor's,Finance,Mid,7,3,4538,111,17,1,4,5,4,3,3,4,6,3
1264,55,Female,Master's,Engineering,Senior,16,15,7459,104,2,7,4,6,3,4,4,7,13,2
1265,42,Female,Master's,HR,Mid,0,0,3671,44,19,0,2,1,3,5,10,6,0,3
1266,51,Non-binary,Master's,Marketing,Junior,1,1,2740,89,20,7,2,6,3,4,6,6,1,2
1267,54,Male,Bachelor's,Product,Junior,8,2,3179,100,6,5,2,3,5,3,1,5,2,2
1268,49,Female,Master's,Finance,Mid,1,1,4924,21,28,5,7,7,4,4,6,7,0,3
1269,54,Female,High School,HR,Lead,1,1,8557,114,28,3,1,1,5,4,8,9,0,3
1270,26,Male,Bachelor's,Product,Junior,8,4,3510,9,27,5,1,2,3,5,8,6,1,3
1271,40,Male,Bachelor's,Product,Senior,21,10,6620,6,13,0,5,2,5,3,6,10,15,2
